,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
59,59,1821.9681626000001,2024-12-10 20:59:09.657563,2024-12-10 21:09:31.743111,0 days 00:10:22.085548,relu,16,0.2,7.687114469381923e-05,0.99,0.9,0.00032702342369484333,0.7,20,1024,medium,0.6643157372082884,COMPLETE
60,60,556.5254838,2024-12-10 21:02:27.413029,2024-12-10 21:11:48.111688,0 days 00:09:20.698659,relu,16,0.3,0.00023685732603213387,0.99,0.95,0.00030050760750880025,0.7,20,1024,medium,0.674511157995183,PRUNED
61,61,1372.9235836,2024-12-10 21:09:31.744091,2024-12-10 21:19:24.114015,0 days 00:09:52.369924,tanh,16,0.3,1.0180082062227926e-07,0.99,0.99,1.5466729413221986e-05,0.5,20,256,small,0.41084300291999065,PRUNED
62,62,2139.7143182,2024-12-10 21:11:48.112587,2024-12-10 21:20:57.281086,0 days 00:09:09.168499,relu,16,0.3,2.400124962431394e-08,0.98,0.99,6.666880990490287e-05,0.5,20,256,tiny,0.39735814833349287,COMPLETE
63,63,390.4820046,2024-12-10 21:19:24.114938,2024-12-10 21:25:10.067260,0 days 00:05:45.952322,relu,32,0.2,0.0006890164662978662,0.99,0.995,0.00013753953488994,0.9,10,128,medium,0.711774429241477,PRUNED
64,64,1148.3383508,2024-12-10 21:20:57.281978,2024-12-10 21:28:50.255310,0 days 00:07:52.973332,relu,32,0.2,0.0001759802300387365,0.95,0.995,0.0006329870030774019,0.9,20,512,medium,0.4118060650947811,PRUNED
65,65,420.57687659999993,2024-12-10 21:25:10.067980,2024-12-10 21:32:47.962129,0 days 00:07:37.894149,relu,32,0.2,0.003525178441732281,0.95,0.995,8.557611220718866e-05,0.9,20,256,small,0.4072499278285886,PRUNED
66,66,2525.9271500000004,2024-12-10 21:28:50.256200,2024-12-10 21:35:56.525387,0 days 00:07:06.269187,tanh,32,0.3,1.5047153278193157e-08,0.99,0.995,2.781234969253007e-05,2.0,20,512,small,0.9424964288381054,COMPLETE
67,67,1782.2625057999999,2024-12-10 21:32:47.963050,2024-12-10 21:44:21.020699,0 days 00:11:33.057649,tanh,16,0.3,3.7121691509355065e-07,0.98,0.99,0.0002805088759368652,0.5,20,64,medium,0.7113248554453613,COMPLETE
68,68,359.663239,2024-12-10 21:35:56.526379,2024-12-10 21:42:31.986075,0 days 00:06:35.459696,relu,32,0.2,4.030692677722027e-06,0.99,0.99,0.0009045643194369433,0.7,20,128,medium,0.5320240748416233,PRUNED
69,69,557.6885018,2024-12-10 21:42:31.986959,2024-12-10 21:46:50.408063,0 days 00:04:18.421104,tanh,256,0.2,1.2483801125283796e-06,0.98,0.999,3.942066102299633e-05,0.7,20,256,medium,0.5544584523203514,PRUNED
70,70,806.3305736,2024-12-10 21:44:21.022588,2024-12-10 21:52:47.747015,0 days 00:08:26.724427,tanh,32,0.3,3.1179295512132705e-08,0.98,0.995,1.6827568801679067e-05,2.0,20,1024,small,0.7985941915912034,PRUNED
71,71,894.6185342000001,2024-12-10 21:46:50.409048,2024-12-10 21:52:20.514852,0 days 00:05:30.105804,tanh,32,0.3,1.5435008880653533e-07,0.99,0.999,0.0007860636734965043,2.0,10,512,small,0.8142672853755036,PRUNED
72,72,2417.5839401999997,2024-12-10 21:52:20.515765,2024-12-10 22:10:13.303928,0 days 00:17:52.788163,relu,8,0.2,3.263418202580468e-06,0.99,0.95,1.5596894179930394e-05,0.7,20,2048,small,0.7347502406713985,COMPLETE
73,73,445.2817588,2024-12-10 21:52:47.747622,2024-12-10 21:58:47.645783,0 days 00:05:59.898161,tanh,32,0.3,1.280228446076875e-05,0.92,0.995,0.0026122455288490358,2.0,20,512,small,0.43605220609523776,PRUNED
74,74,372.5358616,2024-12-10 21:58:47.646483,2024-12-10 22:04:53.378219,0 days 00:06:05.731736,tanh,32,0.4,3.853568796227458e-08,0.95,0.995,3.5701301561521864e-05,2.0,20,512,small,0.9159754727674382,PRUNED
75,75,387.13959120000004,2024-12-10 22:04:53.378953,2024-12-10 22:08:39.678386,0 days 00:03:46.299433,tanh,128,0.3,9.018149822754907e-08,0.99,0.995,8.641887271155696e-05,2.0,5,64,small,0.7084718440429241,PRUNED
76,76,2478.0177362000004,2024-12-10 22:08:39.679519,2024-12-10 22:17:00.396178,0 days 00:08:20.716659,tanh,16,0.3,1.179568375389096e-05,0.98,0.99,0.00013810483749457627,5.0,20,1024,tiny,0.6435359695077054,COMPLETE
77,77,1466.5000943999999,2024-12-10 22:10:13.306065,2024-12-10 22:27:21.414734,0 days 00:17:08.108669,relu,8,0.2,7.623689732728348e-05,0.99,0.95,1.5489980338756724e-05,0.7,20,32,small,0.5731139798583043,PRUNED
